20,20,20,20
60,20,20,20
100,20,20,20
140,20,20,20
180,20,20,20
220,20,20,20
260,20,20,20
300,20,20,20
340,20,20,20
380,20,20,20
420,20,20,20
460,20,20,20
500,20,20,20
540,20,20,20
580,20,20,20
620,20,20,20
660,20,20,20
700,20,20,20
740,20,20,20
780,20,20,20
20,60,20,20
60,60,20,20
100,60,20,20
140,60,20,20
180,60,20,20
220,60,20,20
260,60,20,20
300,60,20,20
340,60,20,20
380,60,20,20
420,60,20,20
460,60,20,20
500,60,20,20
540,60,20,20
580,60,20,20
620,60,20,20
660,60,20,20
700,60,20,20
740,60,20,20
780,60,20,20
20,100,20,20
60,100,20,20
100,100,20,20
140,100,20,20
180,100,20,20
220,100,20,20
260,100,20,20
300,100,20,20
340,100,20,20
380,100,20,20
420,100,20,20
460,100,20,20
500,100,20,20
540,100,20,20
580,100,20,20
620,100,20,20
660,100,20,20
700,100,20,20
740,100,20,20
780,100,20,20
20,140,20,20
60,140,20,20
100,140,20,20
140,140,20,20
180,140,20,20
220,140,20,20
260,140,20,20
300,140,20,20
340,140,20,20
380,140,20,20
420,140,20,20
460,140,20,20
500,140,20,20
540,140,20,20
580,140,20,20
620,140,20,20
660,140,20,20
700,140,20,20
740,140,20,20
780,140,20,20
20,180,20,20
60,180,20,20
100,180,20,20
140,180,20,20
180,180,20,20
220,180,20,20
260,180,20,20
300,180,20,20
340,180,20,20
380,180,20,20
420,180,20,20
460,180,20,20
500,180,20,20
540,180,20,20
580,180,20,20
620,180,20,20
660,180,20,20
700,180,20,20
740,180,20,20
780,180,20,20
20,220,20,20
60,220,20,20
100,220,20,20
140,220,20,20
180,220,20,20
220,220,20,20
20,260,20,20
60,260,20,20
100,260,20,20
140,260,20,20
180,260,20,20
220,260,20,20
20,300,20,20
60,300,20,20
100,300,20,20
140,300,20,20
180,300,20,20
220,300,20,20
20,340,20,20
60,340,20,20
100,340,20,20
140,340,20,20
180,340,20,20
220,340,20,20
20,380,20,20
60,380,20,20
100,380,20,20
140,380,20,20
180,380,20,20
260,220,20,20
300,220,20,20
340,220,20,20
380,220,20,20
420,220,20,20
460,220,20,20
500,220,20,20
380,260,20,20
420,260,20,20
460,260,20,20
500,260,20,20
540,220,20,20
580,220,20,20
540,260,20,20
580,260,20,20
540,300,20,20
580,300,20,20
540,340,20,20
580,340,20,20
540,380,20,20
580,380,20,20
20,540,20,20
60,540,20,20
100,540,20,20
140,540,20,20
180,540,20,20
220,540,20,20
20,580,20,20
60,580,20,20
100,580,20,20
140,580,20,20
180,580,20,20
220,580,20,20
20,620,20,20
60,620,20,20
100,620,20,20
140,620,20,20
180,620,20,20
220,620,20,20
260,540,20,20
300,540,20,20
340,540,20,20
380,540,20,20
420,540,20,20
460,540,20,20
500,540,20,20
540,540,20,20
580,540,20,20
460,580,20,20
500,580,20,20
540,580,20,20
580,580,20,20
620,540,20,20
660,540,20,20
740,660,20,20
780,660,20,20
620,220,20,20
660,220,20,20
620,260,20,20
660,260,20,20
620,300,20,20
660,300,20,20
